user_id,parent_asin,rating,timestamp
U1001,B001PEN001,5,1711929600000
U1001,B001NOTE01,4,1712016000000
U1001,B001PLAN01,5,1712102400000
U1002,B001FILE01,4,1712188800000
U1002,B001TAPE01,3,1712275200000
U1002,B001STAP01,5,1712361600000
U1003,B001RUL001,4,1712448000000
U1003,B001BOARD1,5,1712534400000
U1003,B001NOTE01,4,1712620800000
U1004,B001PEN001,3,1712707200000
U1004,B001PLAN01,4,1712793600000
U1004,B001STAP01,4,1712880000000
U1005,B001FILE01,5,1712966400000
U1005,B001BOARD1,4,1713052800000
U1005,B001TAPE01,4,1713139200000
U1006,B001RUL001,5,1713225600000
U1006,B001NOTE01,5,1713312000000
U1006,B001PEN001,4,1713398400000
